コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
1757,創建エース,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1758,太洋基礎工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
175A,Ｗｉｌｌ　Ｓｍａｒｔ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
1762,高松コンストラクショングループ,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1764,工藤建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1766,東建コーポレーション,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1768,ソネック,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
176A,レジル,グロース（内国株式）,4050,電気・ガス業,11,電力・ガス,-,-
1770,藤田エンジニアリング,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1773,ワイ・ティー・エル・コーポレーション・バーハッド,プライム（外国株式）,2050,建設業,3,建設・資材,-,-
1776,三井住建道路,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
177A,コージンバイオ,グロース（内国株式）,3200,化学,4,素材・化学,-,-
1780,ヤマウラ,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1783,ｆａｎｔａｓｉｓｔａ,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
1786,オリエンタル白石,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1787,ナカボーテック,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1788,三東工業社,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
178A,グローバルＸ　革新的優良企業　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
1793,大本組,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1795,マサル,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1798,守谷商会,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1799,第一建設工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
179A,グローバルＸ　超長期米国債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
1801,大成建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1802,大林組,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1803,清水建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1807,佐藤渡辺,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1808,長谷工コーポレーション,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
180A,グローバルＸ　超長期米国債　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
1810,松井建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1811,錢高組,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1812,鹿島建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1813,不動テトラ,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1814,大末建設,プライム（内国株式）,2050,建設業,3,建設・資材,-,-
1815,鉄建建設,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
181A,ＭＡＸＩＳ米国国債１－３年上場投信（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
1820,西松建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1821,三井住友建設,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1822,大豊建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1826,佐田建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1827,ナカノフドー建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1828,田辺工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
182A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
1833,奥村組,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1835,東鉄工業,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
183A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
1840,土屋ホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1841,サンユー建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1844,大盛工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1847,イチケン,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1848,富士ピー・エス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
184A,学びエイド,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
1850,南海辰村建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1852,淺沼組,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1853,森組,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
185A,リサイクルテック・ジャパン,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
1860,戸田建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1861,熊谷組,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1866,北野建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1867,植木組,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
186A,アストロスケールホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
1870,矢作建設工業,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1871,ピーエス・コンストラクション,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1873,日本ハウスホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1878,大東建託,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
1879,新日本建設,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1882,東亜道路工業,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1884,日本道路,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1885,東亜建設工業,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1887,日本国土開発,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1888,若築建設,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
188A,グローバルＸ　インド・トップ１０＋　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
1890,東洋建設,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1893,五洋建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1897,金下建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1898,世紀東急工業,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1899,福田組,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
189A,Ｄ＆Ｍカンパニー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
1904,大成温調,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1905,テノックス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1909,日本ドライケミカル,スタンダード（内国株式）,3600,機械,8,機械,-,-
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
1911,住友林業,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1914,日本基礎技術,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
191A,ミモザ,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
1921,巴コーポレーション,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1925,大和ハウス工業,プライム（内国株式）,2050,建設業,3,建設・資材,2,TOPIX Large70
1926,ライト工業,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1928,積水ハウス,プライム（内国株式）,2050,建設業,3,建設・資材,2,TOPIX Large70
1929,日特建設,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
192A,インテグループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
1930,北陸電気工事,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1934,ユアテック,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1938,日本リーテック,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1939,四電工,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
193A,グローベルス,PRO Market,8050,不動産業,17,不動産,-,-
1941,中電工,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1942,関電工,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1944,きんでん,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1945,東京エネシス,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1946,トーエネック,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1948,弘電社,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1949,住友電設,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
1950,日本電設工業,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1951,エクシオグループ,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1952,新日本空調,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1959,九電工,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
195A,ライスカレー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
1960,サンテック,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1961,三機工業,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1963,日揮ホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1964,中外炉工業,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1965,テクノ菱和,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1966,高田工業所,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1967,ヤマト,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1968,太平電業,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1969,高砂熱学工業,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
196A,ＭＦＳ,グロース（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
1972,三晃金属工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1973,ＮＥＣネッツエスアイ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
1975,朝日工業社,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1976,明星工業,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1979,大氣社,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
197A,タウンズ,スタンダード（内国株式）,3250,医薬品,5,医薬品,-,-
1980,ダイダン,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1981,協和日成,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1982,日比谷総合設備,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
198A,ＰｏｓｔＰｒｉｍｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
1992,神田通信機,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1994,高橋カーテンウォール工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
1997,暁飯島工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
199A,メディエア,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
2001,ニップン,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
2002,日清製粉グループ本社,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
2003,日東富士製粉,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
2004,昭和産業,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
2009,鳥越製粉,スタンダード（内国株式）,3050,食料品,1,食品,-,-
200A,ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,ETF・ETN,-,-,-,-,-,-
2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2013,ｉシェアーズ　米国高配当株　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2014,ｉシェアーズ　米国連続増配株　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2015,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
2016,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
2017,ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０,ETF・ETN,-,-,-,-,-,-
2018,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2019,グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）,ETF・ETN,-,-,-,-,-,-
201A,ｉシェアーズ　Ｎｉｆｔｙ　５０　インド株　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
202A,豆蔵デジタルホールディングス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2036,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2039,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
203A,シュンビン,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
2040,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2041,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2042,ＮＥＸＴ　ＮＯＴＥＳ　東証グロース市場２５０　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2043,ＮＥＸＴ　ＮＯＴＥＳ　ＳＴＯＸＸ　アセアン好配当５０（円、ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2044,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ５００　配当貴族（ネットリターン）　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2045,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ　シンガポール　リート（ネットリターン）　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2046,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ダブル・ブル　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2047,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ベア　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2048,ＮＥＸＴ　ＮＯＴＥＳ　野村日本株高配当７０（ドルヘッジ、ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
204A,タイヨーパッケージ,PRO Market,3150,パルプ・紙,4,素材・化学,-,-
2050,ＮＥＸＴ　ＮＯＴＥＳ　ニッチトップ　中小型日本株（ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2053,中部飼料,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
2055,日和産業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
205A,ロゴスホールディングス,グロース（内国株式）,2050,建設業,3,建設・資材,-,-
2060,フィード・ワン,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
2065,ＮＥＸＴ　ＮＯＴＥＳ　日本株配当貴族（ドルヘッジ、ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2066,ＮＥＸＴ　ＮＯＴＥＳ　東証ＲＥＩＴ（ドルヘッジ、ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2067,ＮＥＸＴ　ＮＯＴＥＳ　野村ＡＩビジネス７０（ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2068,ＮＥＸＴ　ＮＯＴＥＳ　高ベータ３０（ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
2069,ＮＥＸＴ　ＮＯＴＥＳ　低ベータ５０（ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
